transaction_id,user_id,date,category,amount,weekly_budget_limit,monthly_income,week_number,month,year,is_impulsive,day_name
TRX075432,USR0787,2025-06-07,Food & Beverage,92849.0,1149997.5,7666650,23,6,2025,0,Saturday
TRX079293,USR0559,2025-03-06,Shopping,155802.0,1190572.35,7937149,10,3,2025,1,Thursday
TRX031706,USR0977,2025-02-15,Food & Beverage,21969.0,586605.9,3910706,7,2,2025,0,Saturday
TRX000249,USR0672,2025-06-28,Entertainment,499419.0,869593.65,5797291,26,6,2025,1,Saturday
TRX119412,USR0037,2025-04-21,Entertainment,724609.0,639992.4,4266616,17,4,2025,1,Monday
TRX108835,USR0228,2025-02-17,Food & Beverage,111113.0,713304.45,4755363,8,2,2025,0,Monday
TRX140828,USR0609,2025-03-26,Entertainment,368774.0,1002608.4,6684056,13,3,2025,1,Wednesday
TRX102105,USR0140,2025-10-02,Food & Beverage,89313.0,943722.15,6291481,40,10,2025,0,Thursday
TRX143927,USR0642,2025-06-17,Food & Beverage,29298.0,829015.2,5526768,25,6,2025,0,Tuesday
TRX090018,USR0739,2025-12-19,Transport,217930.0,992343.75,6615625,51,12,2025,0,Friday
TRX105839,USR0813,2025-06-26,Transport,302274.0,649432.95,4329553,26,6,2025,0,Thursday
TRX029542,USR0681,2025-06-12,Entertainment,272155.0,444610.65,2964071,24,6,2025,1,Thursday
TRX096430,USR0625,2025-06-17,Shopping,204489.0,776839.7999999999,5178932,25,6,2025,1,Tuesday
TRX071825,USR0120,2025-06-18,Food & Beverage,56686.0,980194.2,6534628,25,6,2025,0,Wednesday
TRX059054,USR0067,2025-12-23,Transport,55337.0,981071.85,6540479,52,12,2025,0,Tuesday
TRX116255,USR0479,2025-03-28,Bills,59625.0,968490.3,6456602,13,3,2025,0,Friday
TRX104681,USR0492,2025-12-06,Hobby,319990.0,988814.55,6592097,49,12,2025,1,Saturday
TRX114065,USR0158,2025-05-20,Shopping,90454.0,985270.8,6568472,21,5,2025,1,Tuesday
TRX065896,USR0105,2025-08-08,Entertainment,97246.0,664837.0499999999,4432247,32,8,2025,1,Friday
TRX012624,USR0993,2025-01-23,Food & Beverage,81489.5,746245.2,4974968,4,1,2025,0,Thursday
TRX124700,USR0627,2025-02-05,Food & Beverage,17647.0,506404.65,3376031,6,2,2025,0,Wednesday
TRX086130,USR0761,2025-09-26,Entertainment,243672.0,458505.15,3056701,39,9,2025,1,Friday
TRX087928,USR0422,2025-01-30,Shopping,394840.0,861882.9,5745886,5,1,2025,1,Thursday
TRX093609,USR0338,2025-12-28,Entertainment,605940.0,619167.15,4127781,52,12,2025,1,Sunday
TRX073402,USR0673,2025-11-14,Food & Beverage,97760.0,945364.35,6302429,46,11,2025,0,Friday
TRX014310,USR0745,2025-01-07,Entertainment,594070.0,795554.4,5303696,2,1,2025,1,Tuesday
TRX134001,USR0562,2025-07-16,Food & Beverage,24864.0,1140156.45,7601043,29,7,2025,0,Wednesday
TRX074825,USR0869,2025-03-14,Bills,255602.0,1001433.6,6676224,11,3,2025,0,Friday
TRX096327,USR0125,2025-10-06,Food & Beverage,32763.0,474242.1,3161614,41,10,2025,0,Monday
TRX005684,USR0128,2025-07-25,Food & Beverage,25325.0,878627.85,5857519,30,7,2025,0,Friday
TRX128550,USR0273,2025-07-26,Bills,185443.0,432888.75,2885925,30,7,2025,0,Saturday
TRX058806,USR0374,2025-04-10,Food & Beverage,109071.0,687023.1,4580154,15,4,2025,0,Thursday
TRX089754,USR0359,2025-08-13,Food & Beverage,53151.0,844681.35,5631209,33,8,2025,0,Wednesday
