transaction_id,user_id,date,category,amount,weekly_budget_limit,monthly_income
TRX075432,USR0787,2025-06-07,Food & Beverage,92849.0,1149997.5,7666650
TRX079293,USR0559,2025-03-06,Shopping,155802.0,1190572.3499999999,7937149
TRX031706,USR0977,2025-02-15,Food & Beverage,21969.0,586605.9,3910706
TRX000249,USR0672,2025-06-28,Entertainment,499419.0,869593.65,5797291
TRX106081,USR0157,,Food & Beverage,130916.0,810923.7,5406158
TRX119412,USR0037,2025-04-21,Entertainment,724609.0,639992.4,4266616
TRX108835,USR0228,2025-02-17,Food & Beverage,111113.0,713304.45,4755363
TRX140828,USR0609,2025-03-26,Entertainment,368774.0,1002608.3999999999,6684056
TRX102105,USR0140,2025-10-02,Food & Beverage,89313.0,943722.1499999999,6291481
TRX143927,USR0642,2025-06-17,food & beverage ,29298.0,829015.2,5526768
TRX090018,USR0739,2025-12-19,Transport,217930.0,992343.75,6615625
TRX105839,USR0813,2025-06-26,Transport,302274.0,649432.95,4329553
TRX029542,USR0681,2025-06-12,Entertainment,272155.0,444610.64999999997,2964071
TRX096430,USR0625,2025-06-17,Shopping,204489.0,776839.7999999999,5178932
TRX071825,USR0120,2025-06-18,Food & Beverage,56686.0,980194.2,6534628
TRX059054,USR0067,2025-12-23,Transport,55337.0,981071.85,6540479
TRX116255,USR0479,2025-03-28,Bills,59625.0,968490.2999999999,6456602
TRX104681,USR0492,2025-12-06,Hobby,319990.0,988814.5499999999,6592097
TRX114065,USR0158,2025-05-20,Shopping,90454.0,985270.7999999999,6568472
TRX065896,USR0105,2025-08-08,Entertainment,97246.0,664837.0499999999,4432247
TRX012624,  USR0993 ,2025-01-23,Food & Beverage,,746245.2,4974968
TRX124700,USR0627,2025-02-05,Food & Beverage,17647.0,506404.64999999997,3376031
TRX086130,USR0761,2025-09-26,Entertainment,243672.0,458505.14999999997,3056701
TRX087928,USR0422,2025-01-30,Shopping,,861882.9,5745886
TRX093609,USR0338,2025-12-28,Entertainment,605940.0,619167.15,4127781
TRX070349,USR0974,2025-06-25,Transport,14485700.0,891244.2,5941628
TRX073402,USR0673,2025-11-14,Food & Beverage,97760.0,945364.35,6302429
TRX014310,USR0745,2025-01-07,Entertainment,594070.0,795554.4,5303696
TRX134001,USR0562,2025-07-16,Food & Beverage,24864.0,1140156.45,7601043
TRX074825,USR0869,2025-03-14,Bills,255602.0,1001433.6,6676224
TRX096327,USR0125,2025-10-06,Food & Beverage,32763.0,474242.1,3161614
TRX005684,USR0128,2025-07-25,Food & Beverage,25325.0,878627.85,5857519
TRX128550,USR0273,2025-07-26,Bills,,432888.75,2885925
TRX058806,USR0374,2025-04-10,Food & Beverage,109071.0,687023.1,4580154
TRX089754,USR0359,2025-08-13,Food & Beverage,53151.0,844681.35,5631209
TRX095519,USR0119,2025-01-01,Entertainment,566002.0,472529.85,3150199
TRX081680,USR0423,2025-10-19,Shopping,585278.0,953139.1499999999,6354261
TRX003214,USR0806,2025-02-19,Transport,199437.0,602181.2999999999,4014542
TRX058746,USR0237,2025-07-07,Entertainment,259795.0,1066850.7,7112338
TRX104167,USR0100,2025-04-30,Food & Beverage,87929.0,457533.3,3050222
TRX143574,USR0399,2025-05-23,Food & Beverage,113645.0,793864.0499999999,5292427
TRX086915,USR0117,2025-12-15,Entertainment,490766.0,564756.0,3765040
TRX118430,USR0810,2025-05-10,Food & Beverage,53667.0,869264.5499999999,5795097
TRX139565,USR0579,2025-06-10,Subscriptions,224457.0,423437.7,2822918
TRX137430,USR0074,2025-06-24,Shopping,246197.0,875222.5499999999,5834817
TRX101038,USR0069,2025-12-31,Shopping,471882.0,852287.25,5681915
TRX039187,USR0493,2025-07-28,Transport,114582.0,1182089.55,7880597
TRX072157,USR0451,2025-02-15,Shopping,,787376.7,5249178
TRX037464,USR0845,2025-10-04,food & beverage ,68305.0,867115.7999999999,5780772
TRX050674,USR0431,2025-04-01,Transport,285913.0,1156383.5999999999,7709224
TRX064366,USR0035,2025-03-03,Entertainment,305141.0,620273.4,4135156
TRX072705,USR0592,2025-04-15,Shopping,531064.0,738084.6,4920564
TRX099128,USR0566,2025-09-24,Food & Beverage,111429.0,1085648.25,7237655
TRX134658,USR0414,2025-08-04,Food & Beverage,58520.0,873169.0499999999,5821127
TRX077442,USR0860,2025-06-16,Entertainment,557613.0,376695.45,2511303
TRX139491,USR0961,2025-10-10,Transport,347367.0,822202.7999999999,5481352
TRX012745,USR0602,2025-12-27,Food & Beverage,32258.0,482513.39999999997,3216756
TRX112172,USR0462,2025-05-17,Shopping,376152.0,703713.2999999999,4691422
TRX033334,USR0226,2025-03-18,Entertainment,725883.0,707035.95,4713573
TRX017246,USR0011,2025-05-26,Entertainment,313558.0,871672.35,5811149
TRX066559,USR0859,2025-08-12,Transport,298123.0,473542.64999999997,3156951
TRX110582,USR0922,2025-08-10,Transport,142004.0,492459.89999999997,3283066
TRX032408,  USR0803 ,2025-11-25,Bills,255697.0,707352.75,4715685
TRX071325,USR0151,2025-02-04,Entertainment,492459.0,388779.75,2591865
TRX059721,USR0480,2025-11-29,Shopping,,989542.6499999999,6596951
TRX095400,USR0036,2025-06-16,Entertainment,89197.0,395284.5,2635230
TRX042517,USR0525,2025-07-29,Shopping,706227.0,445849.05,2972327
TRX038652,USR0482,2025-04-28,Food & Beverage,64530.0,1170383.4,7802556
TRX121407,USR0221,2025-10-22,Transport,207748.0,572179.7999999999,3814532
TRX110945,USR0731,2025-03-24,Entertainment,633907.0,949264.95,6328433
TRX108802,USR0114,2025-05-01,Food & Beverage,106258.0,754526.85,5030179
TRX021620,USR0916,2025-10-20,Food & Beverage,70404.0,553939.35,3692929
TRX078647,USR0556,2025-04-21,Food & Beverage,112135.0,1084978.2,7233188
TRX097142,USR0472,2025-08-15,Bills,130049.0,877837.7999999999,5852252
TRX069632,USR0380,2025-01-15,Entertainment,473864.0,433252.35,2888349
TRX064081,USR0873,2025-06-03,Bills,165392.0,390784.2,2605228
TRX087923,USR0765,2025-10-02,Food & Beverage,60156.0,1159632.5999999999,7730884
TRX147896,USR0555,2025-01-31,Subs,56947.0,746330.85,4975539
TRX047396,USR0889,2025-11-10,Shopping,635173.0,1105883.0999999999,7372554
TRX095798,USR0374,2025-10-11,Transport,,687023.1,4580154
TRX029895,USR0875,2025-06-30,Transport,93016.0,638353.7999999999,4255692
TRX141254,USR0044,2025-07-21,Entertainment,451886.0,862694.7,5751298
TRX002998,USR0547,2025-08-27,Food & Beverage,125574.0,676344.0,4508960
TRX040240,USR0864,2025-12-15,Food & Beverage,69843.0,1155587.4,7703916
TRX144813,USR0465,2025-05-07,Transport,264981.0,975396.0,6502640
TRX148865,USR0127,2025-12-16,Shopping,343169.0,1078976.0999999999,7193174
TRX068753,USR0667,2025-08-31,Bills,287942.0,439348.2,2928988
TRX069948,USR0355,2025-06-08,Transport,153034.0,729244.7999999999,4861632
TRX116895,USR0580,2025-04-01,Food & Beverage,74651.0,1164994.8,7766632
TRX082142,USR0472,2025-10-13,Subscriptions,53311.0,877837.7999999999,5852252
TRX138944,USR0851,2025-05-31,Food & Beverage,116960.0,1023044.25,6820295
TRX095967,USR0109,2025-05-10,Entertainment,727452.0,1014704.1,6764694
TRX122291,USR0731,2025-11-27,Food & Beverage,101074.0,949264.95,6328433
TRX147141,USR0138,2025-09-21,Transport,88528.0,661605.75,4410705
TRX010343,USR0370,2025-12-03,Food & Beverage,,393916.2,2626108
TRX116591,USR0415,2025-11-03,Hobby,,758890.7999999999,5059272
TRX121777,USR0109,2025-03-10,Food & Beverage,93691.0,1014704.1,6764694
TRX061585,USR0798,2025-06-30,Food & Beverage,37329.0,1198419.5999999999,7989464
TRX024440,USR0613,2025-05-02,Transport,113379.0,514375.19999999995,3429168
TRX118016,USR0156,2025-10-11,Food & Beverage,44527.0,750128.4,5000856
TRX025828,USR0613,2025-03-08,Entertainment,168446.0,514375.19999999995,3429168
TRX008313,USR0783,2025-01-28,Food & Beverage,83879.0,1031048.3999999999,6873656
TRX015277,USR0730,2025-10-15,Hobby,408212.0,628270.7999999999,4188472
TRX115477,USR0496,2025-03-06,Subscriptions,331430.0,966546.75,6443645
TRX017953,USR0595,2025-09-12,Shopping,602159.0,403268.39999999997,2688456
TRX061833,USR0703,2025-12-08,Transport,183515.0,603784.95,4025233
TRX066995,USR0169,2025-06-21,Transport,139913.0,972388.2,6482588
TRX132267,USR0555,2025-04-17,Hobby,320556.0,746330.85,4975539
TRX100718,USR0935,2025-03-24,,97358.0,549592.5,3663950
TRX141692,USR0175,2025-12-28,Transport,90653.0,385149.14999999997,2567661
TRX145977,USR0993,2025-06-27,Food & Beverage,127624.0,746245.2,4974968
TRX049889,USR0985,2025-05-28,Bills,256835.0,1197186.0,7981240
TRX028431,USR0982,2025-01-01,Food & Beverage,128283.0,512922.6,3419484
TRX047413,USR0937,2025-10-10,Hobby,372546.0,791056.0499999999,5273707
TRX031588,USR0500,2025-08-06,Transport,7463800.0,618802.65,4125351
TRX041441,USR0944,2025-10-28,food & beverage ,31446.0,1130716.2,7538108
TRX002997,USR0379,2025-10-21,Shopping,715944.0,778913.25,5192755
TRX122201,USR0539,2025-07-06,Subscriptions,230865.0,650914.95,4339433
TRX138284,USR0854,2025-04-07,Transport,,667501.95,4450013
TRX019090,USR0821,2025-11-24,Bills,127026.0,626376.45,4175843
TRX067189,USR0038,2025-07-22,Entertainment,657969.0,1125156.75,7501045
TRX112771,USR0558,2025-01-10,Food & Beverage,76367.0,630782.25,4205215
TRX047752,USR0114,2025-04-03,Entertainment,691304.0,754526.85,5030179
TRX080269,USR0909,2025-08-12,Bills,107562.0,728381.1,4855874
TRX009381,USR0883,2025-07-10,food & beverage ,85472.0,382331.1,2548874
TRX055047,USR0584,2025-06-20,Food & Beverage,98889.0,392510.85,2616739
TRX049796,USR0598,2025-11-29,Food & Beverage,59531.0,987811.7999999999,6585412
TRX012447,USR0246,2025-06-11,Food & Beverage,83810.0,669929.5499999999,4466197
TRX028862,USR0882,2025-08-13,Hobby,601297.0,876063.0,5840420
TRX116866,USR0224,2025-02-28,Food & Beverage,25922.0,516718.35,3444789
TRX068246,USR0585,2025-08-23,Food & Beverage,34973.0,567987.75,3786585
TRX082631,USR0960,2025-04-16,Food & Beverage,115044.0,513606.6,3424044
TRX034659,USR0086,2025-02-22,Transport,47271.0,1149851.8499999999,7665679
TRX050258,USR0568,2025-07-02,Entertainment,99537.0,388513.95,2590093
TRX142671,USR0390,2025-03-29,Food & Beverage,138307.0,661249.0499999999,4408327
TRX072435,USR0860,2025-10-24,Entertainment,503491.0,376695.45,2511303
TRX141654,USR0912,2025-11-26,Transport,179833.0,922344.9,6148966
TRX059169,USR0929,2025-02-13,Shopping,254062.0,1199527.95,7996853
TRX136866,USR0777,2025-06-17,Food & Beverage,-96992.0,802525.65,5350171
TRX019722,USR0846,2025-09-09,Shopping,713678.0,998683.95,6657893
TRX126976,USR0440,2025-03-19,Subscriptions,255519.0,527614.95,3517433
TRX106338,USR0223,2025-09-14,Food & Beverage,137015.0,953961.6,6359744
TRX109822,USR0082,2025-12-19,Subs,218934.0,708460.35,4723069
TRX033337,USR0107,2025-05-08,Food & Beverage,32538.0,412631.25,2750875
TRX026134,USR0178,2025-09-29,Transport,-119341.0,571125.9,3807506
TRX134910,USR0429,2025-12-08,Bills,135142.0,422761.2,2818408
TRX100968,USR0868,2025-01-02,Hobby,603083.0,1112600.8499999999,7417339
TRX112796,USR0290,2025-03-18,Transport,206839.0,1095317.4,7302116
TRX065950,USR0435,2025-04-08,Food & Beverage,21986.0,842575.7999999999,5617172
TRX103174,USR0648,2025-06-22,Transport,337250.0,559042.7999999999,3726952
TRX106220,USR0956,2025-10-13,Shopping,166672.0,1039055.3999999999,6927036
TRX117010,USR0886,2025-08-03,Shopping,,778467.6,5189784
TRX071133,USR0126,2025-05-07,Subscriptions,-153348.0,1106081.7,7373878
TRX103398,USR0438,2025-07-09,Bills,294689.0,659810.85,4398739
TRX069583,USR0446,2025-01-29,Food & Beverage,135070.0,1130774.55,7538497
TRX046430,USR0766,2025-07-29,SHOPPING,658345.0,1069218.0,7128120
TRX134701,USR0950,2025-01-17,Entertainment,673452.0,939468.2999999999,6263122
TRX020625,USR0694,2025-03-17,Food & Beverage,54740.0,731825.5499999999,4878837
TRX101673,USR0924,2025-08-29,,112139.0,1109978.4,7399856
TRX048540,USR0523,2025-04-15,Food & Beverage,42331.0,634214.4,4228096
TRX102974,USR0588,2025-06-18,Food & Beverage,,898479.9,5989866
TRX069499,USR0592,2025-09-14,Food & Beverage,35008.0,738084.6,4920564
TRX122820,USR0637,2025-06-23,Entertainment,354369.0,437251.2,2915008
TRX023644,USR0021,2025-02-15,Entertainment,123505.0,551707.35,3678049
TRX123644,USR0726,2025-08-09,Shopping,532947.0,479453.69999999995,3196358
TRX108554,USR0922,2025-01-16,Entertainment,98693.0,492459.89999999997,3283066
TRX035314,USR0626,2025-08-18,Shopping,456387.0,1110399.9,7402666
TRX111121,USR0526,2025-06-03,Transport,40999.0,779241.9,5194946
TRX137545,USR0840,2025-11-15,Subscriptions,201391.0,465811.35,3105409
TRX050940,USR0602,2025-09-29,Bills,283290.0,482513.39999999997,3216756
TRX040452,USR0058,2025-04-20,Bills,275561.0,1183111.2,7887408
TRX062012,USR0909,2025-07-20,Bills,99119.0,728381.1,4855874
TRX108460,USR0447,2025-01-16,Entertainment,,688088.7,4587258
TRX000708,USR0570,2025-09-03,Transport,55114.0,1036727.85,6911519
TRX039667,USR0346,2025-06-02,Food & Beverage,68781.0,1055603.7,7037358
TRX132756,USR0008,2025-08-20,Hobby,329508.0,1107781.65,7385211
TRX037513,USR0826,2025-12-21,,27741.0,725965.0499999999,4839767
TRX006964,USR0522,2025-08-14,Entertainment,273652.0,852857.1,5685714
TRX005264,USR0382,2025-10-06,Shopping,503629.0,843610.65,5624071
TRX125479,USR0874,2025-10-24,Bills,99978.0,1068097.5,7120650
TRX025799,USR0157,2025-11-08,,-69974.0,810923.7,5406158
TRX060214,USR0556,2025-10-03,Bills,211816.0,1084978.2,7233188
TRX029880,USR0049,2025-10-01,food & beverage ,113960.0,633348.0,4222320
TRX046839,USR0072,2025-07-17,Transport,158493.0,826205.7,5508038
TRX025783,USR0660,2025-03-12,Subscriptions,317820.0,623848.0499999999,4158987
TRX006372,USR0829,2025-10-24,Food & Beverage,132975.0,424095.6,2827304
TRX059527,USR0851,2025-04-13,Shopping,652522.0,1023044.25,6820295
TRX061058,USR0600,2025-07-10,Entertainment,228775.0,1090102.2,7267348
TRX018022,USR0835,2025-11-07,Hobby,675243.0,971805.2999999999,6478702
TRX044329,USR0019,2025-02-27,Shopping,489986.0,461291.7,3075278
TRX055005,USR0326,2025-12-16,Entertainment,479402.0,837926.4,5586176
TRX031053,USR0185,2025-05-03,Subscriptions,52161.0,469539.75,3130265
TRX099302,USR0657,2025-01-28,Shopping,-111327.0,573610.5,3824070
TRX065527,USR0157,2025-02-06,Subscriptions,280394.0,810923.7,5406158
TRX050445,USR0141,2025-07-06,Hobby,691232.0,1143468.3,7623122
TRX116206,USR0298,2025-10-29,Hobby,582434.0,582662.7,3884418
TRX128675,USR0799,2025-04-13,Food & Beverage,112560.0,949269.6,6328464
TRX066490,USR0384,2025-05-14,Entertainment,79185.0,671861.85,4479079
TRX098883,USR0582,2025-02-11,Food & Beverage,98663.0,711886.35,4745909
TRX034716,USR0469,2025-03-02,Shopping,560803.0,803258.85,5355059
TRX023626,USR0139,2025-08-02,,249565.0,615239.4,4101596
TRX147835,USR0519,2025-11-24,Entertainment,69796.0,1075912.5,7172750
TRX148269,USR0073,2025-08-21,Bills,104105.0,451222.95,3008153
TRX147365,USR0148,2025-04-03,Transport,78910.0,711769.65,4745131
TRX093963,USR0965,2025-03-02,Entertainmnt,611459.0,600350.5499999999,4002337
TRX045704,USR0835,2025-03-29,Shopping,557839.0,971805.2999999999,6478702
TRX089538,USR0671,2025-09-28,Transport,194997.0,821638.5,5477590
TRX131780,USR0432,2025-09-01,Food & Beverage,123370.0,698204.5499999999,4654697
TRX074103,USR0028,2025-03-09,Entertainment,23333400.0,1004009.7,6693398
TRX002089,USR0685,2025-07-14,Transport,325875.0,701190.9,4674606
TRX043593,USR0752,2025-07-29,Food & Beverage,41526.0,822937.35,5486249
TRX054638,USR0444,2025-01-16,Food & Beverage,148337.0,1180356.15,7869041
TRX137183,USR0911,2025-12-24,Entertainment,264481.0,1188220.3499999999,7921469
TRX062341,USR0432,2025-05-31,Food & Beverage,48177.0,698204.5499999999,4654697
TRX094065,USR0989,2025-08-13,Food & Beverage,25840.0,909294.45,6061963
TRX080481,USR0363,2025-04-27,Food & Beverage,82866.0,857645.25,5717635
TRX131690,USR0896,2025-04-04,Food & Beverage,93049.0,939251.25,6261675
TRX043549,USR0529,2025-09-06,SHOPPING,517117.0,521705.85,3478039
TRX139549,USR0040,2025-11-02,Subscriptions,155817.0,582479.1,3883194
TRX036818,USR0632,2025-09-12,Entertainment,248755.0,431724.75,2878165
TRX077221,USR0626,2025-07-23,Food & Beverage,24722.0,1110399.9,7402666
TRX033488,USR0675,2025-11-11,Hobby,369991.0,748605.9,4990706
TRX091755,USR0288,2025-05-06,Entertainment,730626.0,1155839.55,7705597
TRX142409,USR0389,2025-12-14,Shopping,514996.0,563334.6,3755564
TRX034669,USR0181,2025-10-10,Transport,223180.0,819963.2999999999,5466422
TRX021043,USR0991,,Food & Beverage,143505.0,545115.9,3634106
TRX001782,USR0819,2025-11-19,Entertainment,141630.0,1123203.45,7488023
TRX114162,USR0882,2025-12-23,Entertainment,457409.0,876063.0,5840420
TRX122533,USR0165,2025-02-16,Food & Beverage,34055.0,788541.6,5256944
TRX042165,USR0343,2025-07-17,Food & Beverage,148370.0,605790.15,4038601
TRX075211,USR0877,2025-12-12,Entertainment,702210.0,634534.2,4230228
TRX121734,USR0613,2025-10-18,Entertainment,476748.0,514375.19999999995,3429168
TRX088140,USR0879,2025-04-24,Food & Beverage,122160.0,610368.45,4069123
TRX098072,USR0499,2025-01-20,Hobby,546398.0,560222.4,3734816
TRX069805,USR0649,2025-04-24,Transport,345040.0,1102678.2,7351188
TRX106947,USR0203,2025-05-01,Entertainment,516319.0,1008155.7,6721038
TRX058150,USR0341,2025-12-25,Bills,172000.0,426789.89999999997,2845266
TRX006153,USR0976,2025-09-11,Shopping,379970.0,1090123.95,7267493
TRX139172,USR0959,2025-08-14,Entertainment,440511.0,781593.9,5210626
TRX122826,USR0658,2025-03-29,Bills,220482.0,853637.1,5690914
TRX149511,USR0118,2025-08-20,Entertainment,470039.0,653245.65,4354971
TRX114059,USR0792,2025-02-01,Entertainment,357320.0,738607.5,4924050
TRX078484,USR0135,2025-03-20,Transport,110292.0,570869.1,3805794
TRX131307,USR0059,2025-02-25,Transport,311824.0,922903.7999999999,6152692
TRX087832,USR0002,2025-11-29,Food & Beverage,131028.0,1061735.7,7078238
TRX056810,USR0645,2025-12-29,Hobby,714337.0,1109262.5999999999,7395084
TRX026639,USR0792,2025-05-12,Entertainment,659917.0,738607.5,4924050
TRX051075,USR0150,2025-11-29,Shopping,149815.0,1011907.35,6746049
TRX090411,USR0602,2025-07-07,Entertainment,429498.0,482513.39999999997,3216756
TRX086536,USR0277,2025-03-23,Subscriptions,69313.0,435462.14999999997,2903081
TRX008428,USR0730,2025-12-14,Bills,81084.0,628270.7999999999,4188472
TRX115031,USR0908,,Hobby,539421.0,581185.7999999999,3874572
